title,url
Single-board PC – Raspberry Pi e gli altri (5/6) | Backlab's ...,https://www.youtube.com/watch?v=Hh_j3Smd4jo&list=PL6-W3FoUyb4-Vkxe2e5_z9k-uOR41XX8B&index=16&t=0s
Light — продвинутый светильник с Linux на борту / Хабр,https://www.youtube.com/watch?v=lxyQUpkzG3Y&list=PUBLijWZ1jr_6VrIlhp3fFtw&index=69
Ivanov Péter honlapja - ivanov.eu,https://www.youtube.com/watch?v=meuK29pmEgQ
Makeblock Neuron Inventor Kit вже на складі | HobbyTech,https://www.youtube.com/watch?v=-MsywWtN79c
"How to make a PiPhone, a Raspberry Pi smartphone ...",https://www.youtube.com/watch?v=pACJv8MweuI
Дрон Airblock вже на складі! | HobbyTech,https://www.youtube.com/watch?v=pLHQZte-FuY
BASIC | olimex,https://www.youtube.com/watch?v=pSVG3LF7uqA
TOUCH SCREEN WITH LINUX A13-OLINUXINO by Tsvetan ...,https://www.youtube.com/watch?v=q-nDNPa4kNg
review | olimex | Page 2 - WordPress.com,https://www.youtube.com/watch?v=R0q2e6u_vc4
Плата розширення Onion NFC/RFID Expansion | HobbyTech,https://www.youtube.com/watch?v=rAoiIu-B2Dw
all fun projects at Olimex Ltd | Page 105 - olimex,https://www.youtube.com/watch?v=WVbBAxcVX3k
Проект littleBits: дверний дзвінок з SMS оповіщенням ...,https://www.youtube.com/watch?v=XUfpKwYvv00
Навчальний конструктор Makeblock XY-Plotter Robot Kit V2 ...,https://www.youtube.com/watch?v=XUfpKwYvv00
Пример гравировки лазером | HobbyTech,https://www.youtube.com/watch?v=zbA_M_9l6TQ
Проект littleBits: аналоговий пінг-понг | HobbyTech,https://www.youtube.com/watch?v=z-uHulA27bQ
